variable,coefficient,p_value,significant
Intercept,13.697823191924735,4.337393896336294e-276,True
cpi,-0.006379653473291352,0.34195120872874796,False
cpi_rent,-0.006293960501871304,0.1729390593688269,False
log_population,0.7878662332350354,0.0,True
covid,-0.2595170172268647,5.2228317665842865e-05,True
