fips,county_name,state_code,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
,,AZ,2017,683,688,901,1312,1370
,,AZ,2017,594,598,747,1060,1316
,,AZ,2017,550,652,867,1262,1493
,,AZ,2017,639,655,870,1266,1523
0400199999,,AZ,2017,486,558,681,973,1154
0400399999,,AZ,2017,594,598,747,1060,1316
0400599999,,AZ,2017,704,835,1037,1309,1551
0400799999,,AZ,2017,599,603,801,1064,1104
0400999999,,AZ,2017,569,615,737,1073,1282
0401199999,,AZ,2017,515,518,681,852,939
0401299999,,AZ,2017,537,541,719,900,1267
0401399999,,AZ,2017,624,757,944,1374,1594
0401599999,,AZ,2017,529,602,762,1092,1178
0401799999,,AZ,2017,592,596,748,1013,1171
0401999999,,AZ,2017,550,652,867,1262,1493
0402199999,,AZ,2017,624,757,944,1374,1594
0402399999,,AZ,2017,509,512,681,929,939
0402599999,,AZ,2017,683,688,901,1312,1370
0402799999,,AZ,2017,639,655,870,1266,1523
,,AR,2017,546,578,748,1079,1318
,,AR,2017,493,511,679,901,1100
,,AR,2017,442,539,622,905,1096
,,AR,2017,526,576,765,963,1150
,,AR,2017,466,607,735,1009,1013
,,AR,2017,435,460,611,764,850
,,AR,2017,581,673,814,1096,1304
,,AR,2017,631,707,835,1137,1331
,,AR,2017,429,509,659,824,1002
,,AR,2017,490,493,632,866,937
,,AR,2017,502,573,720,920,1012
0500199999,,AR,2017,476,490,611,818,918
0500399999,,AR,2017,476,507,611,795,842
0500599999,,AR,2017,493,496,659,901,955
0500799999,,AR,2017,546,578,748,1079,1318
0500999999,,AR,2017,466,469,623,892,1057
0501199999,,AR,2017,440,518,688,861,948
0501399999,,AR,2017,484,539,622,791,907
0501599999,,AR,2017,530,550,642,852,929
0501799999,,AR,2017,476,486,611,889,891
0501999999,,AR,2017,457,460,611,845,947
0502199999,,AR,2017,457,460,611,867,870
0502399999,,AR,2017,493,497,660,961,995
0502599999,,AR,2017,429,509,659,824,1002
0502799999,,AR,2017,476,529,611,889,947
0502999999,,AR,2017,514,518,688,861,1072
0503199999,,AR,2017,466,607,735,1009,1013
0503399999,,AR,2017,493,511,679,901,1100
0503599999,,AR,2017,631,707,835,1137,1331
0503799999,,AR,2017,501,504,670,849,924
0503999999,,AR,2017,457,460,611,869,872
0504199999,,AR,2017,457,460,611,834,891
0504399999,,AR,2017,462,465,618,825,852
0504599999,,AR,2017,581,673,814,1096,1304
0504799999,,AR,2017,457,460,611,764,891
0504999999,,AR,2017,457,460,611,847,850
0505199999,,AR,2017,526,576,765,963,1150
0505399999,,AR,2017,442,539,622,905,1096
0505599999,,AR,2017,512,532,658,868,1071
0505799999,,AR,2017,477,508,613,824,845
0505999999,,AR,2017,505,563,649,837,997
0506199999,,AR,2017,388,460,611,781,938
0506399999,,AR,2017,457,460,611,772,902
0506599999,,AR,2017,476,486,611,836,897
0506799999,,AR,2017,388,460,611,764,928
0506999999,,AR,2017,429,509,659,824,1002
0507199999,,AR,2017,477,480,638,815,879
0507399999,,AR,2017,457,460,611,788,929
0507599999,,AR,2017,473,476,611,822,903
0507799999,,AR,2017,457,460,611,764,910
0507999999,,AR,2017,429,509,659,824,1002
0508199999,,AR,2017,435,460,611,764,850
0508399999,,AR,2017,484,497,611,867,925
0508599999,,AR,2017,581,673,814,1096,1304
0508799999,,AR,2017,546,578,748,1079,1318
0508999999,,AR,2017,424,465,611,780,1067
0509199999,,AR,2017,502,573,720,920,1012
0509399999,,AR,2017,467,470,625,813,861
0509599999,,AR,2017,459,462,611,765,1077
0509799999,,AR,2017,457,460,611,764,891
0509999999,,AR,2017,460,463,615,811,848
0510199999,,AR,2017,457,460,611,860,891
0510399999,,AR,2017,505,530,611,822,983
0510599999,,AR,2017,581,673,814,1096,1304
0510799999,,AR,2017,457,460,611,889,1077
0510999999,,AR,2017,505,530,611,764,842
0511199999,,AR,2017,490,493,632,866,937
0511399999,,AR,2017,457,460,611,810,994
0511599999,,AR,2017,490,494,645,917,1113
0511799999,,AR,2017,460,463,611,875,1077
